words,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
completion,-0.5355,-0.1505,0.218,-0.1096,-0.1377,0.0444,0.2376,0.1776,0.0107,0.0362,0.0632,0.1086,-0.0691,-0.0188,-0.0457,0.0982,-0.1066,-0.0489,-0.1516,0.0936,-0.0833,0.0042,-0.0419,0.0535,0.1195
complexation,-0.1465,-0.0637,-0.282,-0.1064,-0.109,0.0809,0.0135,-0.1355,-0.1373,0.0201,0.0122,0.2566,0.0324,0.1678,0.0939,0.0027,-0.2022,-0.1722,0.1353,-0.0443,-0.1228,-0.0131,-0.0903,0.1637,0.1217
composed,-0.564,-0.21,0.0709,0.0891,0.0299,-0.1177,-0.0963,-0.0325,-0.0878,-0.0497,-0.0521,0.0074,0.0621,-0.0072,0.0358,-0.0077,0.0787,0.0334,-0.0506,0.1179,0.0348,0.0726,-0.0168,-0.0364,-0.0164
compression,-0.009,0.1139,0.0984,0.0405,0.0455,0.1081,0.0883,0.0557,0.0095,0.0717,-0.2223,0.082,0.0044,0.0341,0.1721,-0.305,-0.0204,0.1187,0.0433,0.1362,0.0491,-0.025,0.1159,-0.0279,0.0169
concern,-0.0997,0.0253,0.2613,0.049,0.1179,-0.1381,-0.0546,-0.0384,0.0633,-0.0569,-0.0696,-0.0514,0.0693,-0.1557,0.2547,-0.0173,0.1859,-0.1641,0.0033,-0.172,0.0686,0.037,-0.0648,0.1065,-0.1184
concession,-0.1431,-0.2363,-0.1262,-0.0073,-0.0775,-0.0175,-0.0378,-0.0371,0.0959,-0.01,0.0009,-0.1704,-0.0846,0.0689,-0.0966,0.1327,0.0432,0.1585,-0.1242,0.1907,0.0931,0.0287,0.083,0.0572,-0.0862
condescension,0.3592,0.1606,0.0111,-0.046,-0.003,0.0623,0.0187,0.1998,-0.0268,-0.1897,-0.1266,-0.0511,-0.0385,-0.0337,0.0308,-0.0068,0.0806,-0.1619,-0.1853,0.0862,0.1655,0.0662,0.1199,0.0451,0.0138
confidence,-0.6385,-0.0958,0.0735,-0.1593,-0.1601,0.0865,0.1441,-0.047,0.0967,0.0988,-0.0166,0.2036,0.0441,-0.1376,0.082,-0.1832,0.0391,-0.0718,-0.1087,0.0169,-0.0858,-0.0476,-0.0219,-0.0426,0.0061
confusion,0.042,0.0946,-0.0594,-0.0636,-0.1467,0.0787,0.0622,-0.1756,0.0208,-0.2545,-0.1046,-0.2283,0.0161,-0.2038,0.0028,-0.0096,-0.0279,0.1481,-0.0856,0.0706,-0.0829,0.1847,-0.002,0.0481,-0.145
contempt,0.4791,0.1639,-0.1037,0.2087,0.0204,-0.0623,0.0726,0.0085,-0.0905,-0.136,0.0114,-0.0614,0.1455,-0.075,-0.1661,0.0957,-0.1386,-0.0445,-0.0718,-0.0043,-0.1193,0.1304,0.0234,0.0508,-0.0359
content,-0.6265,-0.0943,-0.0425,0.0068,-0.0755,0.044,0.1527,0.1428,0.1324,0.0455,-0.0201,0.0936,0.0415,0.0151,0.1464,0.021,0.0798,0.126,-0.0048,0.0287,-0.0173,0.0773,-0.0989,-0.1012,-0.0529
coolness,-0.3576,-0.2901,0.0702,0.0737,-0.2021,-0.3591,0.1548,0.0489,-0.0086,0.0611,0.0974,0.1374,0.009,0.0832,0.1313,0.1499,0.0455,-0.0137,0.1286,-0.0444,0.0223,-0.0565,0.015,0.0014,-0.0334
criticism,0.2243,0.0745,0.0499,0.2747,-0.0689,-0.1566,0.1405,0.0324,0.0859,0.1332,-0.0409,0.0722,-0.0982,0.0253,0.1109,0.0746,-0.1875,0.1852,-0.048,-0.0938,-0.1523,0.0102,0.0077,0.0505,0.0353
cruelty,0.5136,0.4142,0.038,-0.0457,0.0755,0.087,0.2204,-0.0166,0.089,0.0709,-0.0577,0.0072,0.0484,0.1018,-0.0873,0.0614,-0.073,0.0305,-0.0204,0.1093,0.022,-0.0885,-0.0463,-0.1074,0.0396
crush,0.2753,0.3006,0.0821,-0.1557,0.0248,-0.1492,-0.02,0.028,0.0016,-0.126,0.1211,-0.0253,-0.2639,0.0997,0.0848,-0.0138,-0.0839,0.2289,0.036,-0.099,0.0191,-0.0539,0.0526,-0.1494,0.0967
curiosity,-0.4916,0.1488,0.1429,-0.0075,0.0118,-0.1925,-0.0095,-0.0225,0.2331,-0.1566,-0.039,0.0335,0.19,-0.0903,-0.0141,0.076,-0.0377,0.0381,0.024,0.0165,0.0227,-0.0409,0.0956,0.0789,-0.0635
cuteness,-0.6652,0.1406,0.1244,-0.1539,0.0634,0.1045,-0.1249,0.0318,-0.215,0.1165,-0.1273,-0.0779,0.0557,-0.0504,-0.062,-0.0064,0.0561,-0.0995,-0.0259,-0.0213,-0.0392,-0.0718,0.0418,-0.0824,0.0148
