Video Time,Neutral,Happy,Sad,Angry,Surprised,Scared,Disgusted
00:07.5,0.4853441,0.1230528,0.06674825,0.000231207,0.00229222,0.003086419,0.000048921
00:07.5,0.4278802,0.1694486,0.06748686,0.000205715,0.002200352,0.002924532,0.00004705
00:07.6,0.3846932,0.2014557,0.07049103,0.000185385,0.002098596,0.002827959,0.000047243
00:07.6,0.3634646,0.2312122,0.07072662,0.000170928,0.002048654,0.002702734,0.000047049
00:07.7,0.3598313,0.2471727,0.07026795,0.000162002,0.002028959,0.002637222,0.000048071
00:07.8,0.3729401,0.2516616,0.06926832,0.000159091,0.002052066,0.002532299,0.000048901
00:07.8,0.3890301,0.2486886,0.06875019,0.000162028,0.002046704,0.002457759,0.000049205
00:07.8,0.4202378,0.2386642,0.06827679,0.000165891,0.002083429,0.002426812,0.000049191
00:07.9,0.4514163,0.2240758,0.06787038,0.000177764,0.00210627,0.00238231,0.000049774
00:08.0,0.4669993,0.2183415,0.06695597,0.000182979,0.002085123,0.002320275,0.000049042
00:08.0,0.4873108,0.2062699,0.06790621,0.000194463,0.002057838,0.002303194,0.000049121
00:08.1,0.4990297,0.1968571,0.06799863,0.000204377,0.002086518,0.002297869,0.000047384
00:08.1,0.5120381,0.1865486,0.0685465,0.000218688,0.002112013,0.002248559,0.0000465
00:08.1,0.5197088,0.1746087,0.07058555,0.00023105,0.00204238,0.002280965,0.00004586
00:08.2,0.5321271,0.1621697,0.07403568,0.000244497,0.001985955,0.002331298,0.000046028
00:08.3,0.5508395,0.1502197,0.07595957,0.00026568,0.001962164,0.002275983,0.00004628
00:08.3,0.5730023,0.1375357,0.07842158,0.000288604,0.001936215,0.00228642,0.000047787
00:08.3,0.5954657,0.1272486,0.08090454,0.000298077,0.001899245,0.002274067,0.000050606
00:08.4,0.6141244,0.1171661,0.08356655,0.000322149,0.00187482,0.002261569,0.000053544
00:08.4,0.6349213,0.1081771,0.08329565,0.000362975,0.001906488,0.002313792,0.000053941
00:08.5,0.6620755,0.0974058,0.08318915,0.000421274,0.002006455,0.002396103,0.000054935
00:08.6,0.674109,0.09131686,0.08282974,0.000470859,0.002050893,0.002405942,0.000054184
00:08.6,0.6868451,0.08388883,0.08227999,0.000499392,0.002127591,0.002527616,0.000053927
00:08.6,0.7013466,0.07658205,0.0823482,0.000544678,0.002173783,0.002620001,0.000054566
00:08.7,0.7071825,0.07081616,0.08472002,0.000567469,0.002169034,0.002843136,0.000055187
00:08.8,0.713309,0.06622676,0.0866065,0.000579253,0.002177295,0.002984419,0.000055967
00:08.8,0.7151811,0.06264447,0.08879902,0.00058189,0.002185482,0.003177228,0.000057053
00:08.8,0.7155032,0.05876463,0.08867566,0.000595124,0.002242903,0.003412534,0.000056912
00:08.9,0.7130061,0.05624799,0.08945068,0.000594098,0.002247039,0.003637617,0.00005743
00:08.9,0.7139241,0.05319886,0.09018481,0.00059878,0.002284798,0.003851087,0.000056905
00:09.0,0.711302,0.05072488,0.09172011,0.000603181,0.002288152,0.004056817,0.000056881
00:09.0,0.7044973,0.05045192,0.09231544,0.000592424,0.002276838,0.004255877,0.000056722
00:09.1,0.697869,0.05047772,0.09408457,0.000572712,0.002241144,0.004421202,0.00005826
